feature,importance,feature_type,importance_rank,importance_percentile
emb_296,0.0025922898,embedding,111.0,0.2803030303030303
emb_368,0.0025891492,embedding,112.0,0.2828282828282828
emb_305,0.0025860209,embedding,113.0,0.28535353535353536
emb_354,0.0025843375,embedding,114.0,0.2878787878787879
emb_278,0.002583759,embedding,115.0,0.2904040404040404
emb_227,0.0025836723,embedding,116.0,0.29292929292929293
emb_267,0.0025766424,embedding,117.0,0.29545454545454547
emb_369,0.0025749805,embedding,118.0,0.29797979797979796
emb_252,0.0025726352,embedding,119.0,0.3005050505050505
emb_35,0.0025678491,embedding,120.0,0.30303030303030304
emb_257,0.0025662924,embedding,121.0,0.3055555555555556
emb_339,0.0025627392,embedding,122.0,0.30808080808080807
emb_38,0.0025584507,embedding,123.0,0.3106060606060606
emb_321,0.0025583599,embedding,124.0,0.31313131313131315
emb_46,0.0025538818,embedding,125.0,0.31565656565656564
emb_3,0.0025519466,embedding,126.0,0.3181818181818182
emb_301,0.002551784,embedding,127.0,0.3207070707070707
emb_283,0.002551029,embedding,128.0,0.32323232323232326
emb_371,0.0025506013,embedding,129.0,0.32575757575757575
emb_92,0.0025443828,embedding,130.0,0.3282828282828283
emb_8,0.0025343918,embedding,131.0,0.33080808080808083
emb_210,0.002529651,embedding,132.0,0.3333333333333333
emb_115,0.0025282453,embedding,133.0,0.33585858585858586
emb_251,0.0025263343,embedding,134.0,0.3383838383838384
has_question,0.002526035,numerical,135.0,0.3409090909090909
has_colon_x_category,0.0025248597,categorical,136.0,0.3434343434343434
emb_309,0.0025233068,embedding,137.0,0.34595959595959597
emb_361,0.0025220662,embedding,138.0,0.3484848484848485
emb_184,0.0025186252,embedding,139.0,0.351010101010101
emb_281,0.002518242,embedding,140.0,0.35353535353535354
emb_258,0.0025127225,embedding,141.0,0.3560606060606061
emb_153,0.002511785,embedding,142.0,0.35858585858585856
emb_128,0.0025112948,embedding,143.0,0.3611111111111111
has_colon,0.0025107628,numerical,144.0,0.36363636363636365
emb_224,0.0025094547,embedding,145.0,0.3661616161616162
emb_30,0.0025028319,embedding,146.0,0.3686868686868687
emb_239,0.0025023625,embedding,147.0,0.3712121212121212
emb_80,0.0025004323,embedding,148.0,0.37373737373737376
emb_318,0.0024989918,embedding,149.0,0.37626262626262624
emb_150,0.002496681,embedding,150.0,0.3787878787878788
emb_358,0.0024938849,embedding,151.0,0.3813131313131313
emb_382,0.0024846515,embedding,152.0,0.3838383838383838
emb_249,0.002480958,embedding,153.0,0.38636363636363635
emb_55,0.0024803528,embedding,154.0,0.3888888888888889
emb_101,0.0024704204,embedding,155.0,0.39141414141414144
emb_82,0.0024698884,embedding,156.0,0.3939393939393939
emb_198,0.0024694384,embedding,157.0,0.39646464646464646
emb_58,0.0024693394,embedding,158.0,0.398989898989899
emb_138,0.002463842,embedding,159.0,0.4015151515151515
emb_116,0.002462997,embedding,160.0,0.40404040404040403
emb_315,0.0024498305,embedding,161.0,0.4065656565656566
emb_280,0.0024446417,embedding,162.0,0.4090909090909091
emb_317,0.0024438407,embedding,163.0,0.4116161616161616
emb_129,0.002442903,embedding,164.0,0.41414141414141414
emb_61,0.0024414766,embedding,165.0,0.4166666666666667
emb_274,0.002436901,embedding,166.0,0.41919191919191917
emb_335,0.0024356216,embedding,167.0,0.4217171717171717
emb_370,0.002428658,embedding,168.0,0.42424242424242425
emb_98,0.0024265784,embedding,169.0,0.42676767676767674
emb_314,0.002426004,embedding,170.0,0.4292929292929293
emb_176,0.0024253211,embedding,171.0,0.4318181818181818
emb_326,0.0024243838,embedding,172.0,0.43434343434343436
emb_99,0.002424017,embedding,173.0,0.43686868686868685
emb_272,0.0024181218,embedding,174.0,0.4393939393939394
