feature,importance
emb_211,0.0022416585
emb_13,0.0022380208
emb_10,0.0022352736
has_number,0.0022347418
emb_37,0.0022335786
emb_18,0.0022328754
emb_182,0.0022326824
emb_125,0.0022310133
emb_62,0.0022293353
emb_381,0.002226807
emb_206,0.0022263266
emb_357,0.0022241913
emb_77,0.0022237473
emb_140,0.0022219825
hour,0.0022213066
emb_102,0.0022183
emb_264,0.0022172383
emb_71,0.0022163934
emb_100,0.0022161591
emb_300,0.0022149638
emb_39,0.002214717
emb_199,0.002212918
emb_86,0.0022107563
emb_230,0.0022096706
emb_332,0.0022093973
emb_42,0.0022092941
emb_90,0.002208537
emb_241,0.0022065118
emb_33,0.0022050648
emb_124,0.0022032412
emb_24,0.002202997
emb_48,0.002202969
emb_291,0.0021991532
emb_170,0.002191406
emb_366,0.0021906637
emb_54,0.0021897717
emb_188,0.0021892148
emb_202,0.002187714
emb_373,0.0021872139
emb_15,0.002185893
emb_53,0.002183846
emb_95,0.0021835286
emb_346,0.002178637
emb_325,0.0021783675
emb_342,0.002175789
emb_207,0.0021740384
emb_327,0.002171416
emb_147,0.0021669944
emb_312,0.0021650696
emb_328,0.0021625927
emb_195,0.002161969
emb_294,0.0021608532
emb_299,0.0021608234
emb_348,0.0021607655
emb_75,0.0021560593
emb_47,0.0021539333
emb_197,0.0021494566
emb_310,0.0021484923
emb_334,0.002142518
emb_259,0.0021421982
emb_20,0.002137351
emb_324,0.0021350228
emb_174,0.0021343324
emb_320,0.0021310179
emb_156,0.0021295638
emb_169,0.0021293913
emb_144,0.0021276039
emb_243,0.0021256255
emb_236,0.0021242506
emb_2,0.0021234888
emb_242,0.0021199875
emb_237,0.0021184678
emb_383,0.0021173337
emb_126,0.0021156615
emb_331,0.0021145004
emb_330,0.0021130922
emb_268,0.0021099153
emb_285,0.0021067997
emb_78,0.002104183
emb_333,0.0021023904
emb_167,0.002101506
emb_185,0.0021003531
emb_51,0.002089558
emb_235,0.0020890618
emb_26,0.0020877237
emb_352,0.0020830622
emb_12,0.0020814764
emb_32,0.0020766084
emb_232,0.0020762077
emb_96,0.002071027
emb_355,0.0020693406
emb_253,0.002062064
emb_146,0.0020592362
emb_134,0.002054272
emb_359,0.0020508645
emb_155,0.0020501604
emb_353,0.0020433436
emb_34,0.002040785
emb_29,0.0020381394
emb_121,0.0020334297
emb_9,0.0020331386
emb_45,0.0020228762
emb_266,0.0020220238
emb_205,0.0020168987
emb_204,0.0020153283
emb_16,0.002014778
emb_244,0.002008522
emb_0,0.002006993
emb_364,0.0020018234
emb_186,0.0019875513
emb_57,0.0019812754
emb_50,0.0019792542
emb_28,0.0019747512
emb_171,0.0019701093
emb_269,0.001966866
emb_1,0.0019596363
emb_87,0.0019320505
emb_360,0.0019287878
emb_103,0.0019219129
emb_107,0.0018677033
emb_22,0.0018596759
emb_151,0.0018444223
emb_88,0.0017981079
emb_6,0.001696753
time_of_day,0.0
has_exclamation,0.0
